Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,B2,B3,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS,TB,GDP,HBP,SH,SF,IBB,PosSummary
357,358,Mike Dunn*\dunnmi01,32,COL,NL,63,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
358,359,Adam Duvall\duvalad01,28,CIN,NL,157,647,587,78,146,37,3,31,99,5,3,39,170,0.249,0.301,0.48,0.782,100.0,282,11,10,0,11,1,*7/3D
362,363,Adam Eaton*\eatonad02,28,WSN,NL,23,107,91,24,27,7,1,2,13,3,1,14,18,0.297,0.39299999999999996,0.462,0.8540000000000001,121.0,42,0,1,0,1,0,8/79
363,364,Josh Edgin\edginjo01,30,NYM,NL,44,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
364,365,Carl Edwards\edwarca01,25,CHC,NL,68,1,1,1,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
365,366,Zach Eflin\eflinza01,23,PHI,NL,10,22,21,1,3,0,0,0,2,0,0,0,13,0.14300000000000002,0.14300000000000002,0.14300000000000002,0.28600000000000003,-23.0,3,0,0,1,0,0,1
366,367,Brett Eibner\eibnebr01,28,LAD,NL,17,36,33,3,6,0,0,2,6,0,0,2,17,0.182,0.25,0.364,0.614,60.0,12,0,1,0,0,0,/789
367,368,Jerad Eickhoff\eickhje01,26,PHI,NL,21,34,31,3,5,1,0,0,0,0,0,0,13,0.161,0.161,0.19399999999999998,0.355,-6.0,6,0,0,3,0,0,1
368,369,Brian Ellington\ellinbr02,26,MIA,NL,40,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
369,370,A.J. Ellis\ellisaj01,36,MIA,NL,51,163,143,17,30,5,0,6,14,0,0,12,29,0.21,0.298,0.371,0.669,80.0,53,6,6,2,0,0,2
374,375,Phil Ervin\ervinph01,24,CIN,NL,28,64,58,8,15,2,0,3,10,4,1,4,15,0.259,0.317,0.44799999999999995,0.7659999999999999,98.0,26,1,1,1,0,0,/879
375,376,Jake Esch\eschja01,27,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
385,386,Carlos Estevez\estevca01,24,COL,NL,32,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
387,388,Andre Ethier*\ethiean01,35,LAD,NL,22,38,34,3,8,1,0,2,3,0,0,4,10,0.235,0.316,0.441,0.757,98.0,15,0,0,0,0,1,/7
388,389,Phillip Evans\evansph01,24,NYM,NL,19,38,33,4,10,2,0,0,1,0,0,4,8,0.303,0.395,0.364,0.758,104.0,12,0,1,0,0,0,/54
389,390,Jeurys Familia\familje01,27,NYM,NL,25,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
390,391,Kyle Farmer\farmeky01,26,LAD,NL,20,20,20,1,6,1,0,0,2,0,0,0,3,0.3,0.3,0.35,0.65,72.0,7,2,0,0,0,0,/523
396,397,Erick Fedde\feddeer01,24,WSN,NL,3,5,4,0,0,0,0,0,0,0,0,0,3,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,/1
397,398,Tim Federowicz\federti01,29,SFG,NL,13,14,13,3,3,0,0,2,3,0,0,1,4,0.231,0.28600000000000003,0.6920000000000001,0.978,147.0,9,1,0,0,0,0,/23
398,399,Scott Feldman*\feldmsc01,34,CIN,NL,20,38,34,0,1,0,0,0,0,0,0,0,16,0.028999999999999998,0.028999999999999998,0.028999999999999998,0.059000000000000004,-84.0,1,0,0,4,0,0,1
404,405,Josh Fields\fieldjo03,31,LAD,NL,55,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
408,409,Brandon Finnegan*\finnebr01,24,CIN,NL,5,6,5,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,1,0,1,0,0,/1
411,412,Jack Flaherty\flaheja01,21,STL,NL,6,6,6,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/1
413,414,Chris Flexen\flexech01,22,NYM,NL,13,14,13,0,2,1,0,0,0,0,0,0,7,0.154,0.154,0.231,0.385,0.0,3,0,0,1,0,0,1
415,416,Wilmer Flores\florewi01,25,NYM,NL,110,362,336,42,91,17,1,18,52,1,1,17,54,0.271,0.307,0.488,0.795,106.0,164,14,3,0,6,1,534/D
416,417,Pedro Florimon#\floripe01,30,PHI,NL,15,49,46,6,16,4,1,0,6,0,0,3,16,0.348,0.38799999999999996,0.478,0.866,130.0,22,1,0,0,0,0,/896457
417,418,Dylan Floro*\florody01,26,CHC,NL,3,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,1,0,0,0,0,/1
418,419,Tyler Flowers\flowety01,31,ATL,NL,99,370,317,41,89,16,0,12,49,0,1,31,82,0.281,0.37799999999999995,0.445,0.823,114.0,141,6,20,0,2,1,2/D
419,420,Mike Foltynewicz\foltymi01,25,ATL,NL,28,49,42,1,2,0,0,0,0,0,0,0,27,0.048,0.048,0.048,0.095,-75.0,2,0,0,7,0,0,1
420,421,Wilmer Font\fontwi01,27,LAD,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
422,423,Logan Forsythe\forsylo01,30,LAD,NL,119,439,361,56,81,19,0,6,36,3,2,69,109,0.22399999999999998,0.35100000000000003,0.327,0.6779999999999999,82.0,118,12,4,0,5,1,45/763
423,424,Dexter Fowler#\fowlede01,31,STL,NL,118,491,420,68,111,22,9,18,64,7,3,63,101,0.264,0.363,0.488,0.851,123.0,205,10,4,0,4,6,*8/D
425,426,Maikel Franco\francma02,24,PHI,NL,154,623,575,66,132,29,1,24,76,0,0,41,95,0.23,0.281,0.409,0.69,81.0,235,21,2,0,5,3,*5/3D
429,430,Seth Frankoff\frankse01,28,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
430,431,Adam Frazier*\fraziad01,25,PIT,NL,121,454,406,55,112,20,6,6,53,9,5,36,57,0.276,0.344,0.39899999999999997,0.743,96.0,162,9,8,1,3,2,749/85D6
435,436,Kyle Freeland*\freelky01,24,COL,NL,33,56,52,3,8,1,0,1,2,0,0,1,30,0.154,0.17,0.231,0.401,-2.0,12,0,0,3,0,0,1
436,437,Freddie Freeman*\freemfr01,27,ATL,NL,117,514,440,84,135,35,2,28,71,8,5,65,95,0.307,0.40299999999999997,0.586,0.9890000000000001,154.0,258,9,7,0,2,14,35
438,439,Mike Freeman*\freemmi01,29,TOT,NL,19,32,30,3,4,2,0,0,0,0,0,2,10,0.133,0.188,0.2,0.38799999999999996,1.0,6,1,0,0,0,0,6/45
442,443,Sam Freeman\freemsa01,30,ATL,NL,54,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
443,444,David Freese\freesda01,34,PIT,NL,130,503,426,44,112,16,0,10,52,0,1,58,116,0.263,0.368,0.371,0.7390000000000001,97.0,158,10,15,0,4,5,*5/3D
444,445,David Freitas\freitda01,28,ATL,NL,6,17,17,2,4,2,0,0,2,0,0,0,4,0.235,0.235,0.353,0.588,51.0,6,1,0,0,0,0,/2
445,446,Max Fried*\friedma01,23,ATL,NL,10,9,7,1,0,0,0,0,0,0,0,1,3,0.0,0.125,0.0,0.125,-63.0,0,0,0,1,0,0,/1
446,447,Eric Fryer\fryerer01,31,STL,NL,34,83,71,7,11,3,0,0,3,0,0,11,18,0.155,0.27699999999999997,0.19699999999999998,0.474,30.0,14,3,1,0,0,0,2
447,448,Rey Fuentes*\fuentre01,26,ARI,NL,64,145,136,19,32,1,2,3,9,4,1,8,35,0.235,0.278,0.33799999999999997,0.616,54.0,46,0,0,1,0,0,8/79
449,450,Rocky Gale\galero01,29,SDP,NL,3,10,10,1,1,0,0,1,2,0,0,0,2,0.1,0.1,0.4,0.5,25.0,4,0,0,0,0,0,/2
453,454,Freddy Galvis#\galvifr01,27,PHI,NL,162,663,608,71,155,29,6,12,61,14,5,45,111,0.255,0.309,0.382,0.69,83.0,232,12,4,2,4,2,*6/87
455,456,John Gant\gantjo01,24,STL,NL,7,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/1
456,457,Adonis Garcia\garciad01,32,ATL,NL,52,183,173,19,41,4,0,5,19,4,0,7,23,0.237,0.273,0.34700000000000003,0.62,61.0,60,9,2,0,1,0,5/7
458,459,Greg Garcia*\garcigr01,27,STL,NL,133,290,241,27,61,9,2,2,20,2,1,37,64,0.253,0.365,0.332,0.6970000000000001,88.0,80,6,6,5,1,0,546
463,464,Jarlin Garcia*\garcija04,24,MIA,NL,64,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
465,466,Luis Garcia\garcilu03,30,PHI,NL,63,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
472,473,Amir Garrett\garream01,25,CIN,NL,15,23,19,1,1,1,0,0,1,0,0,0,6,0.053,0.053,0.105,0.158,-60.0,2,3,0,4,0,0,1
474,475,Matt Garza\garzama01,33,MIL,NL,23,37,35,1,3,0,0,0,1,0,0,0,13,0.086,0.111,0.086,0.19699999999999998,-47.0,3,0,1,1,0,0,1
479,480,Cory Gearrin\gearrco01,31,SFG,NL,66,2,2,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
480,481,Scooter Gennett*\gennesc01,27,CIN,NL,141,497,461,80,136,22,3,27,97,3,2,30,114,0.295,0.342,0.531,0.8740000000000001,124.0,245,15,4,0,2,1,45/79D1
484,485,Conor Gillaspie*\gillaco01,29,SFG,NL,44,87,80,8,13,4,0,2,8,0,0,5,10,0.163,0.218,0.28800000000000003,0.506,33.0,23,3,1,0,1,0,5/3
485,486,Sean Gilmartin*\gilmase01,27,NYM,NL,2,1,1,1,1,1,0,0,1,0,0,0,0,1.0,1.0,2.0,3.0,667.0,2,0,0,0,0,0,/1
488,489,Tyler Glasnow*\glasnty01,23,PIT,NL,18,23,17,1,5,0,0,0,3,0,0,4,7,0.294,0.455,0.294,0.7490000000000001,105.0,5,0,1,1,0,0,1
489,490,Koda Glover\gloveko01,24,WSN,NL,22,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
490,491,Zack Godley\godleza01,27,ARI,NL,25,53,42,1,2,0,0,0,2,0,0,2,26,0.048,0.091,0.048,0.139,-63.0,2,0,0,9,0,0,1
491,492,Erik Goeddel\goedder01,28,NYM,NL,30,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
492,493,David Goforth\goforda01,28,MIL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
493,494,Luiz Gohara*\goharlu01,20,ATL,NL,5,10,9,0,0,0,0,0,0,0,0,0,7,0.0,0.0,0.0,0.0,-100.0,0,1,0,1,0,0,/1
495,496,Paul Goldschmidt\goldspa01,29,ARI,NL,155,665,558,117,166,34,3,36,120,18,5,94,147,0.297,0.40399999999999997,0.563,0.966,140.0,314,14,8,0,4,15,*3/D
498,499,Jeanmar Gomez\gomezje01,29,PHI,NL,17,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
499,500,Miguel Gomez#\gomezmi01,24,SFG,NL,22,34,33,3,8,2,0,0,2,0,0,0,6,0.242,0.235,0.303,0.5379999999999999,42.0,10,1,0,0,1,0,/4
500,501,Roberto Gomez#\gomezro01,27,SFG,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
504,505,Adrian Gonzalez*\gonzaad01,35,LAD,NL,71,252,231,14,56,17,0,3,30,0,1,16,43,0.242,0.287,0.355,0.642,69.0,82,7,0,0,4,1,3
505,506,Carlos Gonzalez*\gonzaca01,31,COL,NL,136,534,470,72,123,34,0,14,57,3,0,56,119,0.262,0.33899999999999997,0.423,0.762,87.0,199,9,2,0,6,3,*9/D
507,508,Gio Gonzalez\gonzagi01,31,WSN,NL,30,75,66,3,6,0,0,0,5,0,0,4,29,0.091,0.14300000000000002,0.091,0.23399999999999999,-37.0,6,0,0,5,0,0,1
513,514,Brian Goodwin*\goodwbr01,26,WSN,NL,74,278,251,41,63,21,1,13,30,6,0,23,69,0.251,0.313,0.498,0.8109999999999999,106.0,125,3,1,0,3,2,879
516,517,Dee Gordon*\gordode01,29,MIA,NL,158,695,653,114,201,20,9,2,33,60,16,25,93,0.308,0.341,0.375,0.716,95.0,245,7,10,2,4,0,*4/6
523,524,Trevor Gott\gotttr01,24,WSN,NL,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
524,525,Matt Grace*\gracema02,28,WSN,NL,39,5,5,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
525,526,Yasmani Grandal#\grandya01,28,LAD,NL,129,482,438,50,108,27,0,22,58,0,1,40,130,0.247,0.308,0.45899999999999996,0.767,100.0,201,10,0,1,3,0,*2
526,527,Curtis Granderson*\grandcu01,36,TOT,NL,147,527,449,74,95,24,3,26,64,6,2,71,123,0.212,0.32299999999999995,0.452,0.775,103.0,203,5,4,0,3,2,*897/D
532,533,Jon Gray\grayjo02,25,COL,NL,19,43,38,3,3,0,0,1,3,0,0,1,27,0.079,0.10300000000000001,0.158,0.26,-37.0,6,0,0,4,0,0,1
534,535,Grant Green\greengr01,29,WSN,NL,2,3,3,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/4
538,539,Zack Greinke\greinza01,33,ARI,NL,30,70,62,4,13,4,0,0,4,0,0,2,18,0.21,0.24600000000000002,0.27399999999999997,0.52,31.0,17,0,1,5,0,0,1
539,540,Randal Grichuk\grichra01,25,STL,NL,122,442,412,53,98,25,3,22,59,6,1,26,133,0.23800000000000002,0.285,0.473,0.758,96.0,195,9,2,0,2,3,79/8
544,545,Justin Grimm\grimmju01,28,CHC,NL,48,3,3,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,1,0,0,0,0,1
546,547,Robert Gsellman\gsellro01,23,NYM,NL,27,44,34,2,5,0,0,0,4,0,0,6,14,0.147,0.268,0.147,0.415,15.0,5,0,0,3,1,0,1
548,549,Javy Guerra\guerrja01,31,MIA,NL,16,1,1,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
549,550,Junior Guerra\guerrju02,32,MIL,NL,20,21,16,0,0,0,0,0,0,0,0,0,4,0.0,0.0,0.0,0.0,-100.0,0,0,0,5,0,0,1
551,552,Jeremy Guthrie\guthrje01,38,WSN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
552,553,Franklin Gutierrez\gutiefr01,34,LAD,NL,35,63,56,8,13,3,0,1,8,0,1,7,16,0.23199999999999998,0.317,0.33899999999999997,0.657,75.0,19,2,0,0,0,0,7
554,555,Jedd Gyorko\gyorkje01,28,STL,NL,125,481,426,52,116,21,2,20,67,6,2,47,105,0.272,0.341,0.47200000000000003,0.813,113.0,201,12,1,0,7,1,*53/4D7
555,556,Josh Hader*\haderjo01,23,MIL,NL,32,4,4,0,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
558,559,Billy Hamilton#\hamilbi02,26,CIN,NL,139,633,582,85,144,17,11,4,38,59,13,44,133,0.247,0.299,0.335,0.634,66.0,195,5,0,5,2,0,*8
560,561,Brad Hand*\handbr01,27,SDP,NL,66,2,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1
561,562,Ryan Hanigan\hanigry01,36,COL,NL,33,112,101,9,27,2,0,2,12,0,0,8,26,0.267,0.324,0.34700000000000003,0.6709999999999999,67.0,35,5,1,1,1,2,2
567,568,Ian Happ#\happia01,22,CHC,NL,115,413,364,62,92,17,3,24,68,8,4,39,129,0.253,0.32799999999999996,0.514,0.8420000000000001,114.0,187,12,4,2,4,5,8479/5
571,572,Bryce Harper*\harpebr03,24,WSN,NL,111,492,420,95,134,27,1,29,87,4,2,68,99,0.319,0.413,0.595,1.008,158.0,250,15,1,0,3,11,*9
573,574,Josh Harrison\harrijo05,29,PIT,NL,128,542,486,66,132,26,2,16,47,12,4,28,90,0.272,0.33899999999999997,0.43200000000000005,0.7709999999999999,102.0,210,5,23,2,3,2,45/79
575,576,Matt Harvey\harvema01,28,NYM,NL,18,36,34,2,2,0,0,0,1,0,0,1,13,0.059000000000000004,0.086,0.059000000000000004,0.145,-60.0,2,3,0,1,0,0,1
580,581,Jeremy Hazelbaker*\hazelje01,29,ARI,NL,41,61,52,10,18,2,2,2,10,1,0,9,20,0.34600000000000003,0.44299999999999995,0.5770000000000001,1.02,154.0,30,0,0,0,0,2,7/98
586,587,Austin Hedges\hedgeau01,24,SDP,NL,120,417,387,36,83,17,0,18,55,4,1,23,122,0.214,0.262,0.39799999999999996,0.66,74.0,154,10,3,1,3,3,*2/D
587,588,Chris Heisey\heisech01,32,WSN,NL,38,79,74,8,12,3,1,1,5,0,0,5,22,0.162,0.215,0.27,0.485,25.0,20,1,0,0,0,0,7/9
591,592,Kyle Hendricks\hendrky01,27,CHC,NL,24,51,50,3,5,1,0,0,5,0,0,0,28,0.1,0.1,0.12,0.22,-43.0,6,0,0,1,0,0,1
594,595,Ariel Hernandez\hernaar01,25,CIN,NL,17,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
595,596,Cesar Hernandez#\hernace02,27,PHI,NL,128,577,511,85,150,26,6,9,34,15,5,61,104,0.294,0.373,0.42100000000000004,0.7929999999999999,112.0,215,8,4,0,1,1,*4/6
599,600,Enrique Hernandez\hernaen02,25,LAD,NL,140,342,297,46,64,24,2,11,37,3,0,41,80,0.215,0.308,0.42100000000000004,0.7290000000000001,91.0,125,4,0,1,3,2,87695/43D
600,601,Gorkys Hernandez\hernago01,29,SFG,NL,128,348,310,40,79,20,1,0,22,12,4,31,73,0.255,0.327,0.326,0.652,75.0,101,6,3,2,2,3,*789
606,607,Odubel Herrera*\herreod01,25,PHI,NL,138,563,526,67,148,42,3,14,56,8,5,31,126,0.281,0.325,0.452,0.778,104.0,238,13,4,0,2,4,*8
607,608,Chris Herrmann*\herrmch01,29,ARI,NL,106,256,226,35,41,7,0,10,27,5,0,29,67,0.18100000000000002,0.273,0.345,0.619,55.0,78,1,0,0,1,0,27/39
610,611,Jason Heyward*\heywaja01,27,CHC,NL,126,481,432,59,112,15,4,11,59,4,4,41,67,0.259,0.326,0.389,0.715,85.0,168,8,3,2,2,1,*98
615,616,Aaron Hill\hillaa01,35,SFG,NL,34,80,68,7,9,2,1,1,7,0,0,11,13,0.132,0.25,0.235,0.485,30.0,16,2,0,0,1,0,/457
616,617,Rich Hill*\hillri01,37,LAD,NL,23,49,45,1,5,1,0,0,4,0,0,0,18,0.111,0.146,0.133,0.27899999999999997,-25.0,6,0,2,1,1,0,1
617,618,Jeff Hoffman\hoffmje02,24,COL,NL,23,36,33,1,3,1,0,0,1,0,0,0,17,0.091,0.091,0.121,0.212,-48.0,4,1,0,3,0,0,1
621,622,Greg Holland\hollagr01,31,COL,NL,55,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
625,626,J.J. Hoover\hoovejj01,29,ARI,NL,49,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
626,627,Rhys Hoskins\hoskirh01,24,PHI,NL,50,212,170,37,44,7,0,18,48,2,0,37,46,0.259,0.396,0.618,1.014,165.0,105,2,3,0,2,1,73
631,632,Daniel Hudson\hudsoda01,30,PIT,NL,65,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
632,633,Chad Huffman\huffmch01,32,STL,NL,12,15,14,3,4,0,1,0,0,0,0,1,6,0.28600000000000003,0.33299999999999996,0.429,0.762,100.0,6,0,0,0,0,0,/D9
633,634,Jared Hughes\hugheja02,31,MIL,NL,63,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
634,635,Nick Hundley\hundlni01,33,SFG,NL,101,303,287,27,70,23,0,9,35,0,0,12,81,0.244,0.272,0.418,0.691,80.0,120,6,0,2,2,2,2/D
636,637,Jason Hursh\hurshja01,25,ATL,NL,9,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
637,638,Jae-gyun Hwang\hwangja01,29,SFG,NL,18,57,52,2,8,1,0,1,5,0,0,5,15,0.154,0.228,0.231,0.45899999999999996,23.0,12,1,0,0,0,0,5/3
638,639,Chris Iannetta\iannech01,34,ARI,NL,89,316,272,38,69,19,0,17,43,0,0,37,87,0.254,0.354,0.511,0.865,114.0,139,3,6,0,1,0,2/5
640,641,Raisel Iglesias\iglesra01,27,CIN,NL,60,1,1,0,1,1,0,0,0,0,0,0,0,1.0,1.0,2.0,3.0,657.0,2,0,0,0,0,0,1
641,642,Ender Inciarte*\inciaen01,26,ATL,NL,157,718,662,93,201,27,5,11,57,22,9,49,94,0.304,0.35,0.409,0.759,98.0,271,8,0,3,4,3,*8
646,647,Luke Jackson\jackslu01,25,ATL,NL,41,3,2,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,1,0,0,1
648,649,Travis Jankowski*\jankotr01,26,SDP,NL,27,87,75,10,14,2,0,0,1,4,0,9,28,0.187,0.282,0.213,0.496,37.0,16,2,1,2,0,0,7/89
649,650,Kenley Jansen#\janseke01,29,LAD,NL,59,4,4,0,2,1,0,0,1,0,0,0,0,0.5,0.5,0.75,1.25,226.0,3,1,0,0,0,0,1
650,651,John Jaso*\jasojo01,33,PIT,NL,126,302,256,28,54,19,0,10,35,1,1,40,66,0.21100000000000002,0.32799999999999996,0.402,0.73,92.0,103,5,5,0,1,2,937
651,652,Jon Jay*\jayjo02,32,CHC,NL,141,433,379,65,112,18,3,2,34,6,2,37,80,0.29600000000000004,0.374,0.375,0.7490000000000001,96.0,142,11,12,3,2,3,*789/D1
661,662,Jim Johnson\johnsji04,34,ATL,NL,56,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
662,663,Micah Johnson*\johnsmi04,26,ATL,NL,18,11,10,2,2,0,0,0,0,1,0,0,4,0.2,0.2,0.2,0.4,5.0,2,0,0,1,0,0,/7
663,664,Pierce Johnson\johnspi01,26,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
666,667,Ryder Jones*\jonesry01,23,SFG,NL,53,164,150,12,26,5,2,2,5,1,0,10,52,0.17300000000000001,0.244,0.273,0.517,37.0,41,3,4,0,0,3,35/7
668,669,Tommy Joseph\josepto01,25,PHI,NL,142,533,495,51,119,27,1,22,69,1,0,33,129,0.24,0.289,0.43200000000000005,0.721,89.0,214,21,2,0,3,1,*3/D
671,672,Taylor Jungmann\jungmta01,27,MIL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
677,678,Shawn Kelley\kellesh01,33,WSN,NL,31,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
678,679,Carson Kelly\kellyca02,22,STL,NL,34,75,69,5,12,3,0,0,6,0,0,5,11,0.174,0.24,0.217,0.457,23.0,15,3,1,0,0,0,2
680,681,Ty Kelly#\kellyty01,28,TOT,NL,70,105,89,11,17,7,0,2,14,0,0,8,25,0.191,0.257,0.337,0.595,57.0,30,0,1,4,3,0,4/7598
683,684,Matt Kemp\kempma01,32,ATL,NL,115,467,438,47,121,23,1,19,64,0,2,27,99,0.276,0.318,0.46299999999999997,0.7809999999999999,100.0,203,25,0,0,1,5,7/D
685,686,Howie Kendrick\kendrho01,33,TOT,NL,91,334,305,40,96,16,3,9,41,12,5,22,68,0.315,0.368,0.475,0.8440000000000001,120.0,145,8,5,0,2,0,74/39D
691,692,Clayton Kershaw*\kershcl01,29,LAD,NL,24,59,49,6,9,1,0,0,2,0,0,4,13,0.184,0.245,0.204,0.449,22.0,10,2,0,6,0,0,1
703,704,Patrick Kivlehan\kivlepa01,27,CIN,NL,115,204,178,23,37,5,1,9,26,1,2,22,61,0.20800000000000002,0.304,0.39899999999999997,0.703,82.0,71,2,3,0,1,1,937/58
705,706,Andrew Knapp#\knappan01,25,PHI,NL,56,204,171,26,44,8,1,3,13,1,0,31,56,0.257,0.368,0.368,0.736,98.0,63,5,0,0,2,4,2/3D
706,707,Corey Knebel\knebeco01,25,MIL,NL,71,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
707,708,Matt Koch*\kochma01,26,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
711,712,George Kontos\kontoge01,32,TOT,NL,59,2,2,0,0,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
718,719,Ian Krol*\krolia01,26,ATL,NL,48,1,1,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,1
719,720,Chad Kuhl\kuhlch01,24,PIT,NL,30,52,48,2,5,2,0,0,3,0,0,1,16,0.10400000000000001,0.122,0.146,0.268,-29.0,7,1,0,3,0,0,1
720,721,Tommy La Stella*\lasteto01,28,CHC,NL,73,151,125,18,36,8,0,5,22,0,0,20,18,0.28800000000000003,0.389,0.47200000000000003,0.861,123.0,59,3,2,0,2,1,45/3
721,722,John Lackey\lackejo01,38,CHC,NL,31,61,53,2,7,1,0,0,1,1,1,3,23,0.132,0.179,0.151,0.33,-13.0,8,0,0,5,0,0,1
722,723,Juan Lagares\lagarju01,28,NYM,NL,94,272,252,37,63,16,2,3,15,7,3,14,56,0.25,0.29600000000000004,0.365,0.6609999999999999,75.0,92,6,3,2,1,0,8
724,725,Jake Lamb*\lambja01,26,ARI,NL,149,635,536,89,133,30,4,30,105,6,4,87,152,0.248,0.35700000000000004,0.48700000000000004,0.8440000000000001,110.0,261,15,7,0,5,13,*5/D
725,726,Dinelson Lamet\lametdi01,24,SDP,NL,19,38,35,0,3,0,0,0,0,0,0,0,22,0.086,0.086,0.086,0.171,-54.0,3,0,0,3,0,0,1
728,729,Derek Law\lawde01,26,SFG,NL,39,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1
735,736,Jack Leathersich\leathja01,26,TOT,NL,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1
738,739,Wade LeBlanc*\leblawa01,32,PIT,NL,46,5,5,0,1,0,0,0,1,0,0,0,3,0.2,0.2,0.2,0.4,7.0,1,0,0,0,0,0,1
740,741,Zach Lee\leeza01,25,SDP,NL,3,3,3,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,-100.0,0,0,0,0,0,0,/1
741,742,Mark Leiter\leitema02,26,PHI,NL,23,26,25,0,2,0,0,0,0,0,0,0,12,0.08,0.08,0.08,0.16,-57.0,2,1,0,1,0,0,1
742,743,DJ LeMahieu\lemahdj01,28,COL,NL,155,682,609,95,189,28,4,8,64,6,5,59,90,0.31,0.374,0.409,0.7829999999999999,94.0,249,24,6,3,5,1,*4
